tilesetIso.png
15 15
0c 0 0 0c 5 5 5 5 1 1 1 1 3 3 0  
0 0 0 0 5 1c 1 1 1 1 1c 1 3 0 0  
0 0c 0 0 0 1 1c 1 1 1 1 0 0 0 0  
0 0 0 0 0 1 1 1c 1 1 1 0 0 0c 0  
5 5 5 5 5 1 1 1 1c 1 1 1 3 0 0c  
2 2 2 2c 5 1 1 1 1 1c 1 1 3 4 4  
2 2c 5 5 5 3 3 3 3 3 3 3 3 4 4c  
2 2 2c 2 2 2c 2 2 2 2 2 2 4 4 4  
2 2 2 2 5 2 2c 2 2 2 2 2 4c 4 4  
4 5 5 5 5 2 2 2 2c 2 2 2 4c 4 4  
4 4c 4 4 3 1 1 3 3 3 3 3 4 4c 5  
4 4 4c 4 1c 1 1 1 1 1 1 1 5 5 5  
4 4 4 4c 1 1c 1 1 1 1 1 1 5 3 3  
4 4 4 4 1 1 1c 1 1 1c 1 1 5 3 3  
4c 4 4 4 1 1 1 1c 1 1 1 1 5 3 3
